,City,Response Code,Exec Time(s),Longitude,Latitude,Weather,Temperature (F),Cloudiness (%),Wind Speed (mph),Humidity (%)
68,cidreira,200,0.07023906707763672,-50.2056,-30.1811,Clear,70.09,0,17.67,76
69,port-cartier,200,0.29999399185180664,-66.8654,50.0334,Snow,34.29,90,18.41,64
70,saint-philippe,200,0.13719797134399414,55.7679,-21.3585,Clear,73.63,0,5.75,73
71,kodiak,200,0.13065791130065918,-152.4072,57.79,Clouds,44.6,90,9.22,70
72,tasiilaq,200,0.34186506271362305,-37.6368,65.6145,Clear,26.6,2,2.24,86
73,antofagasta,200,0.9044501781463623,-70.4,-23.65,Clear,60.8,0,10.36,82
74,kavieng,200,0.5200631618499756,150.7967,-2.5744,Clouds,83.61,36,1.79,69
75,kruisfontein,200,0.18565988540649414,24.7314,-34.0033,Clear,54.1,0,5.32,75
76,pisco,200,0.30716991424560547,-76.2167,-13.7,Clear,68.13,0,11.5,73
77,yulara,200,0.2407238483428955,130.9889,-25.2406,Clouds,57.2,37,6.91,51
78,datong,200,0.47745585441589355,113.2914,40.0936,Clouds,44.76,29,4.7,25
79,port elizabeth,200,0.16413378715515137,25.5701,-33.918,Clear,55.4,0,6.91,76
80,mys shmidta,404,0.33336591720581055,,,,,,,76
81,porto empedocle,200,0.2933681011199951,13.5264,37.2934,Clouds,64.63,100,1.01,72
82,balabac,200,0.18666791915893555,117.0645,7.9868,Clouds,81.97,70,9.93,81
83,saint george,200,0.0700540542602539,-113.5841,37.1041,Rain,90.39,99,1.01,9
84,attawapiskat,404,0.4114501476287842,,,,,,,9
85,ponta do sol,200,0.07278203964233398,-17.1,32.6667,Clouds,53.64,90,1.99,65
86,nome,200,0.4478139877319336,-165.4064,64.5011,Clouds,24.93,90,9.22,74
87,atuona,200,0.18686509132385254,-139.0333,-9.8,Clear,79.21,2,6.31,69
88,belushya guba,404,0.3005099296569824,,,,,,,69
89,kamenskoye,404,0.06965994834899902,,,,,,,69
90,ribeira grande,200,0.4415931701660156,-28.7,38.5167,Clouds,62.6,75,16.11,94
91,saskylakh,200,0.19512414932250977,114.0833,71.9167,Clouds,32.5,100,1.66,91
92,khlung,200,0.33695220947265625,102.2214,12.4547,Rain,80.01,100,3.22,99
93,flinders,200,0.07263612747192383,150.8552,-34.5833,Clouds,64,100,1.01,88
94,butaritari,200,0.3804957866668701,172.7902,3.0707,Clouds,82.98,99,10.54,74
95,east london,200,0.38731980323791504,27.9116,-33.0153,Clear,60.8,0,5.84,66
96,minsk,200,0.09560585021972656,27.5667,53.9,Rain,48.11,0,6.71,71
97,alice springs,200,0.11867904663085938,133.8833,-23.7,Clouds,66.63,15,8.66,54
98,barrow,200,0.30304527282714844,-156.7887,71.2906,Clouds,21.2,90,11.5,79
99,barentsburg,404,0.12075018882751465,,,,,,,79
100,the valley,200,0.07166910171508789,-63.0578,18.217,Clouds,79.23,20,11.5,69
101,abu jubayhah,404,0.18166399002075195,,,,,,,69
102,staroaleyskoye,200,0.0756070613861084,82.0,51.0061,Clouds,35.51,93,3.15,67
103,erenhot,200,0.07653117179870605,111.9767,43.6475,Clouds,45.95,77,15.61,26
104,simao,200,0.06881403923034668,100.9748,22.7886,Clouds,60.44,96,1.03,96
105,sentyabrskiy,404,0.3234870433807373,,,,,,,96
106,fairbanks,200,0.08453202247619629,-147.7164,64.8378,Clouds,39.4,20,4.61,48
107,gigmoto,200,0.08625912666320801,124.39,13.7796,Clouds,81.28,11,4.54,75
108,luganville,200,0.14772725105285645,167.1667,-15.5333,Clouds,80.22,76,9.53,76
109,bintulu,200,0.07004499435424805,113.0333,3.1667,Clouds,75.09,20,2.3,100
110,sechura,200,0.07150721549987793,-80.8222,-5.5569,Clouds,76.39,14,15.7,62
111,namibe,200,0.07156205177307129,12.1522,-15.1961,Clouds,76.78,23,5.46,77
112,porvoo,200,0.07931303977966309,25.6651,60.3923,Clear,31.59,0,4.61,69
113,nizhneyansk,404,0.07338404655456543,,,,,,,69
114,sembe,200,0.3172750473022461,14.5806,1.6481,Clouds,71.22,60,1.7,92
115,koulikoro,200,0.07048606872558594,-7.75,14.0,Clouds,88.43,100,3.31,38
116,arraial do cabo,200,0.07139301300048828,-42.0278,-22.9661,Clouds,72.9,100,11.52,68
117,clyde river,200,0.1630411148071289,-68.5914,70.4692,Clouds,19.4,90,0.83,100
118,soe,200,0.10244607925415039,124.284,-9.8607,Clouds,67.48,51,4.47,84
119,arman,200,0.07202291488647461,150.1667,59.7,Clouds,37.04,99,1.3,76
120,salacgriva,200,0.06796479225158691,24.3581,57.7536,Clear,36.01,0,3.11,84
121,provideniya,200,0.08156108856201172,-173.3,64.3833,Clouds,26.37,37,5.03,55
122,buchanan,200,0.10401487350463867,-10.0467,5.8808,Clouds,78.8,40,10.74,94
123,talaya,200,0.5290029048919678,152.75,61.3833,Clouds,29.89,100,2.33,87
124,intipuca,200,0.347959041595459,-88.0544,13.1969,Clouds,91.4,20,9.22,55
125,vila do maio,200,0.40773987770080566,-23.2167,15.1333,Clouds,71.6,40,19.57,78
126,bredasdorp,200,0.07235598564147949,20.0403,-34.5322,Clouds,46.4,82,6.91,93
127,beringovskiy,200,0.07535004615783691,179.3167,63.05,Clouds,20.93,96,13.24,82
128,samusu,404,0.09638810157775879,,,,,,,82
129,saint-augustin,200,0.34335899353027344,-58.6502,51.226,Clouds,36.91,100,9.78,95
130,upernavik,200,0.410689115524292,-56.1549,72.7868,Clear,26.01,9,5.84,83
131,longyearbyen,200,0.27596497535705566,15.6401,78.2186,Clouds,17.6,20,12.66,73
132,mahebourg,200,0.39588403701782227,57.7,-20.4081,Clouds,73.4,75,4.61,94
133,oranjemund,200,0.07085800170898438,16.4333,-28.55,Clear,70.27,0,14.07,32
134,hualmay,200,0.2644059658050537,-77.6139,-11.0964,Clouds,68.77,59,8.68,82
135,capiata,200,0.07691121101379395,-57.4167,-25.35,Clear,75.11,0,6.11,60
136,samarai,200,0.08192610740661621,150.6667,-10.6167,Clouds,80.92,37,9.33,79
137,dakar,200,0.10363602638244629,-17.4441,14.6937,Clear,68,0,11.5,94
138,husavik,200,0.1576709747314453,-17.3389,66.0449,Rain,33.8,75,5.75,80
139,bethel,200,0.07416486740112305,-73.414,41.3712,Clear,58.91,1,5.75,21
140,bambous virieux,200,0.07721090316772461,57.7575,-20.3428,Clouds,74.16,75,4.61,94
141,villa vazquez,404,0.10347223281860352,,,,,,,94
142,makat,200,0.2969379425048828,53.3463,47.6469,Clouds,62.35,74,19.28,24
143,chapais,200,0.09132218360900879,-74.8492,49.7834,Clouds,44.6,90,18.41,36
144,ancud,200,0.07682299613952637,-73.8203,-41.8697,Rain,49.24,0,6.91,87
145,narsaq,200,0.07387590408325195,-46.05,60.9167,Clouds,44.6,20,39.12,24
146,richards bay,200,0.14350605010986328,32.0377,-28.783,Rain,62.15,37,5.39,87
147,nanyang,200,0.08890104293823242,112.5328,32.9947,Clouds,58.89,12,20.58,59
148,itamarandiba,200,0.07521295547485352,-42.8589,-17.8572,Clouds,58.01,100,3.09,92
149,nikolskoye,200,0.0741579532623291,30.7861,59.7035,Rain,36.43,0,2.24,70
150,ola,200,0.07275199890136719,151.2833,59.5833,Clouds,35.28,95,5.35,62
151,livingston,200,0.3022289276123047,-3.5226,55.9029,Clear,38.43,0,4.61,87
152,qaanaaq,200,0.0734720230102539,-69.3632,77.484,Clouds,32.74,82,5.5,68
153,punta arenas,200,0.09848999977111816,-70.9167,-53.15,Clouds,41,40,4.61,87
154,ekhabi,200,0.14781713485717773,142.9671,53.5102,Clouds,31.82,100,12.41,86
155,lata,200,0.06963205337524414,-8.3327,40.1629,Clouds,49.87,47,5.01,83
156,scarborough,200,0.07125997543334961,-0.4044,54.2797,Clear,33.71,4,4.81,88
157,asau,200,0.06970691680908203,26.4,46.4333,Clouds,57.99,100,3.09,56
158,palabuhanratu,404,0.08774590492248535,,,,,,,56
159,lubango,200,0.0724332332611084,13.4925,-14.9172,Rain,58.98,89,1.59,85
160,deh rawud,404,0.32084202766418457,,,,,,,85
161,quattro castella,200,0.07557082176208496,10.4743,44.635,Clouds,56.68,97,6.64,77
162,codrington,200,0.06755876541137695,141.9667,-38.2667,Clouds,60.28,100,10.92,80
163,bonham,200,0.16691112518310547,-96.1783,33.5773,Clouds,68.29,90,10.36,77
164,anchorage,200,0.10387206077575684,-149.9003,61.2181,Clear,48.99,1,8.05,28
165,kingaroy,200,0.07204985618591309,151.8333,-26.5333,Clouds,64.22,75,11.5,82
166,tres picos,200,0.06751894950866699,-93.5333,15.8667,Clouds,85.41,93,6.26,67
167,san lazaro,200,0.06902909278869629,-88.6622,18.0387,Clouds,86.52,40,12.66,66
168,ambodifototra,404,0.2869739532470703,,,,,,,66
169,saint-pierre,200,0.07080864906311035,55.4781,-21.3393,Clear,73.69,0,5.75,73
170,hami,200,0.0822899341583252,93.45,42.8,Clouds,59.54,100,22.26,30
171,mananjary,200,0.1704399585723877,48.3333,-21.2167,Clouds,73.99,59,7.52,94
172,tagusao,200,0.06850790977478027,117.8141,9.1924,Clouds,81,61,4.41,78
173,nyurba,200,0.07087016105651855,118.3319,63.2842,Rain,33.58,100,3.15,99
174,caidian,200,0.10420608520507812,114.0333,30.5833,Clear,69.8,0,4.47,73
175,turukhansk,200,0.10383486747741699,87.9833,65.8167,Clouds,32.47,93,4.68,86
176,tuatapere,200,0.33440709114074707,167.6833,-46.1333,Clear,53.01,4,1.99,82
177,williston,200,0.09006905555725098,-103.618,48.147,Clouds,74.91,84,8.01,23
178,herat,200,0.0948789119720459,62.0,34.5,Clouds,62.4,100,8.01,71
179,bargal,404,0.10644721984863281,,,,,,,71
180,lolua,404,0.27231574058532715,,,,,,,71
181,iqaluit,200,0.08782577514648438,-68.5145,63.7506,Clouds,39.09,75,20.71,70
182,chokurdakh,200,0.06912422180175781,147.9167,70.6333,Clouds,18.39,75,4.32,90
183,mar del plata,200,0.2728438377380371,-57.5575,-38.0023,Clear,63,0,4.61,77
184,corn island,200,0.30327391624450684,-83.0418,12.1694,Clouds,81.21,72,8.66,71
185,inuvik,200,0.49157285690307617,-133.7218,68.3499,Clouds,25.68,100,4.61,63
186,mareeba,200,0.27207517623901367,145.4333,-17.0,Clouds,74.32,75,12.66,73
187,kokopo,200,0.27614879608154297,152.2633,-4.352,Clouds,82.58,31,1.45,69
188,ahipara,200,0.2958526611328125,173.1667,-35.1667,Clear,63.32,0,7.63,54
189,el balyana,404,0.07787489891052246,,,,,,,54
190,kavaratti,200,0.07744121551513672,72.642,10.5669,Clouds,84.09,22,5.61,75
191,meulaboh,200,0.1367182731628418,96.1285,4.1363,Rain,77.32,76,2.42,88
192,lincoln,200,0.0841059684753418,-96.667,40.8,Clear,86,1,26.46,20
193,khonuu,404,0.07193922996520996,,,,,,,20
194,salalah,200,0.07052087783813477,54.0924,17.0151,Clouds,84.2,20,3.44,79
195,souillac,200,0.3909270763397217,57.5167,-20.5167,Clouds,73.4,75,4.61,94
196,la plaine,200,0.2695622444152832,-61.25,15.3333,Clouds,80.71,20,1.14,61
197,beira,200,0.3638420104980469,34.8389,-19.8436,Rain,75.09,75,15.7,69
198,macapa,200,0.09688282012939453,-51.0664,0.0389,Clouds,77,20,3.44,100
199,abu samrah,200,0.27756595611572266,37.1841,35.3029,Clear,68.5,7,8.23,45
200,victoria,200,0.08773303031921387,114.1577,22.2855,Clouds,76.69,93,1.1,85
201,raduzhnyy,200,0.2872731685638428,77.475,62.0961,Clouds,27.01,77,6.11,94
202,norman wells,200,0.30510520935058594,-126.8329,65.282,Clouds,46.4,20,14.97,36
203,la roda,200,0.3328561782836914,-2.15,39.2167,Clear,47.8,0,5.75,54
204,bellevue,200,0.28273820877075195,-122.2007,47.6104,Clouds,56.86,90,0.92,55
205,dongdu,200,0.36282992362976074,117.7,35.85,Clear,52.66,1,4.94,32
206,nsanje,200,0.3726379871368408,35.262,-16.92,Rain,70.57,97,3.91,96
207,tukrah,200,0.3840470314025879,20.5791,32.5341,Clear,84.13,1,7.65,21
208,araouane,200,0.27025508880615234,-3.5265,18.9048,Clouds,88.07,18,4.61,26
209,kamina,200,0.36259913444519043,24.9906,-8.7386,Rain,65.75,100,4.36,95
210,stornoway,200,0.2718639373779297,-6.3865,58.2093,Clouds,36.59,53,3.44,93
211,rancho palos verdes,200,0.3378777503967285,-118.387,33.7445,Clouds,64.26,100,5.99,73
212,leningradskiy,200,0.09703183174133301,178.4167,69.3833,Snow,16.95,100,20.8,89
213,airai,200,0.06976199150085449,125.4092,-8.9266,Clouds,60.85,81,3.51,81
214,ambilobe,200,0.49657320976257324,49.05,-13.2,Clouds,72.66,14,3.09,95
215,saldanha,200,0.15101075172424316,17.9442,-33.0117,Clear,55.4,3,4.61,67
216,tshikapa,200,0.2719118595123291,20.8,-6.4167,Clouds,69.44,100,2.77,96
217,cravo norte,200,0.32018303871154785,-70.2041,6.3017,Clouds,80.55,79,1.99,74
218,bavly,200,0.2815721035003662,53.2602,54.393,Clouds,50.11,100,16.13,81
219,chadiza,200,0.36319470405578613,32.4392,-14.0678,Clouds,63.63,55,5.99,91
220,sevenoaks,200,0.10692787170410156,0.1928,51.27,Clouds,35.87,47,2.95,89
221,oban,200,0.5294122695922852,-5.4706,56.4127,Clouds,40.05,13,1.1,86
222,roma,200,0.1445310115814209,-75.4557,43.2128,Clouds,51.93,75,4.61,40
223,sisimiut,200,0.279616117477417,-53.6735,66.9395,Clear,36.41,10,4.56,72
224,shihezi,200,0.32031726837158203,86.0333,44.3,Clouds,51.69,82,6.67,39
225,lebu,200,0.09011077880859375,-73.65,-37.6167,Rain,55.4,100,15.08,92
226,merauke,200,0.28391504287719727,140.3333,-8.4667,Clouds,80.28,62,13.91,80
227,avera,200,0.07303690910339355,-82.5271,33.194,Clear,76.57,1,5.75,34
228,paamiut,200,0.2741200923919678,-49.6678,61.994,Clouds,37.35,66,6.38,70
229,goderich,200,0.2783019542694092,-81.7165,43.7501,Clouds,53.6,100,20.71,40
230,aykhal,200,0.2693660259246826,111.5,66.0,Clouds,31.84,100,3.04,98
231,praia da vitoria,200,0.3345968723297119,-27.0667,38.7333,Clouds,61.48,75,10.49,88
232,eureka,200,0.07545971870422363,-124.1637,40.8021,Clouds,55.24,46,11.01,72
233,vestmannaeyjar,200,0.0713798999786377,-20.2734,63.4427,Clouds,39.94,71,15.61,65
234,santiago del estero,200,0.47710609436035156,-64.2615,-27.7951,Clouds,71.74,24,7.54,50
235,mayumba,200,0.1510770320892334,10.6554,-3.432,Clouds,77.85,100,4.61,90
236,coihaique,200,0.07172417640686035,-72.0662,-45.5752,Rain,42.8,90,6.91,93
237,san roque,200,0.2702829837799072,-5.3842,36.2107,Clouds,59,16,11.5,63
238,yarada,200,0.31603288650512695,83.2667,17.65,Mist,82.4,20,3.44,83
239,amderma,404,0.2322239875793457,,,,,,,83
240,thinadhoo,200,0.31257200241088867,72.9333,0.5333,Clouds,83.23,61,3.47,71
241,silca,200,0.2772660255432129,-86.5333,14.8333,Clouds,89.6,40,2.3,40
242,chor,200,0.08183813095092773,69.7667,25.5167,Clouds,85.89,94,10.98,33
243,houston,200,0.26630687713623047,-95.3633,29.7633,Clouds,75.78,75,16.11,73
244,maldonado,200,0.38231801986694336,-54.9167,-34.6667,Clouds,65.19,20,6.91,82
245,artyk,404,0.08486199378967285,,,,,,,82
246,bay roberts,200,0.2744882106781006,-53.2648,47.5999,Clouds,40.71,82,5.99,85
247,carnarvon,200,0.26984286308288574,113.6333,-24.8667,Clouds,66.2,100,9.22,72
248,nador,200,0.07094383239746094,-2.9287,35.174,Clear,56.73,0,9.22,51
249,qaqortoq,200,0.3027820587158203,-46.0333,60.7167,Clouds,44.6,20,39.12,24
250,mackay,200,0.3130300045013428,149.2,-21.15,Clouds,71.76,40,14.97,78
251,guiratinga,200,0.32408618927001953,-53.7583,-16.3494,Clear,71.46,10,4.47,81
252,aflu,404,0.09075808525085449,,,,,,,81
253,pochutla,200,0.07745790481567383,-96.4661,15.7432,Clouds,87.39,75,11.5,58
254,bandarbeyla,200,0.06985807418823242,50.8122,9.4942,Clouds,83.53,71,8.05,73
255,bow island,200,0.35415220260620117,-111.3684,49.8668,Clouds,65.61,67,11.5,24
256,dingle,200,0.0702507495880127,122.6711,10.9995,Clouds,81.32,40,8.81,76
257,kahului,200,0.07003402709960938,-156.47,20.8947,Clouds,78.03,40,19.57,58
258,tokoroa,200,0.48008298873901367,175.8667,-38.2333,Clear,57.99,0,1.5,64
259,senanga,200,0.3215460777282715,23.2667,-16.1167,Clouds,68.25,73,4.05,80
260,ouadda,200,0.47058701515197754,22.4007,8.0777,Clouds,72.46,71,4.59,60
261,yefira,404,0.0999600887298584,,,,,,,60
262,korla,200,0.07233786582946777,86.1469,41.7597,Clouds,65.08,72,16.69,19
263,mountain home,200,0.34172797203063965,-115.6912,43.133,Rain,62.6,90,35.68,51
264,high level,200,0.2749748229980469,-117.136,58.5169,Clouds,46.4,75,11.5,49
265,castro,200,0.2755308151245117,-50.0119,-24.7911,Clouds,56.84,71,5.75,95
266,vaitupu,404,0.07668900489807129,,,,,,,95
267,sacile,200,0.3118598461151123,12.5029,45.9541,Clouds,59.81,100,1.99,96
268,santo tomas,200,0.268690824508667,121.1414,14.1079,Clouds,82.26,20,4.61,74
269,bolshaya murta,404,0.2797586917877197,,,,,,,74
270,bathsheba,200,0.08953380584716797,-59.5167,13.2167,Clouds,78.8,20,14.97,65
271,broken hill,200,0.28566598892211914,141.4333,-31.95,Clear,62.6,0,9.22,55
272,robertsport,200,0.2982499599456787,-11.3686,6.7533,Clouds,82.2,55,10.76,79
273,port augusta,200,0.07013607025146484,137.7667,-32.5,Clear,60.4,4,6.91,82
274,ngukurr,404,0.29966211318969727,,,,,,,82
275,san patricio,200,0.33930277824401855,-97.5169,28.017,Clouds,72.59,40,9.22,88
276,abrau-dyurso,200,0.271740198135376,37.59,44.69,Fog,50,90,4.47,93
277,sorong,200,0.0812218189239502,131.25,-0.8833,Clouds,79.41,93,6.87,83
278,puerto narino,200,0.30540919303894043,-70.3831,-3.7703,Clouds,78.8,40,2.3,89
279,saint-joseph,200,0.07558083534240723,55.6167,-21.3667,Clear,73.71,0,6.91,68
280,kaeo,200,0.07063603401184082,173.7833,-35.1,Clear,66,0,4.0,68
281,nadym,200,0.07661008834838867,72.5167,65.5333,Snow,29.61,100,20.47,95
282,namatanai,200,0.18869614601135254,152.4333,-3.6667,Clouds,84.18,41,1.34,68
283,vardo,200,0.07236504554748535,31.1107,70.3705,Clouds,33.57,96,15.55,69
284,nagorsk,200,0.4710359573364258,50.8078,59.3172,Clouds,33.33,18,4.74,93
285,fitii,200,0.271014928817749,-151.0333,-16.7333,Clouds,80.6,94,3.69,67
286,luwuk,200,0.35729026794433594,122.7875,-0.9516,Clouds,79.41,98,3.51,82
287,marcona,404,0.13144683837890625,,,,,,,82
288,massakory,200,0.508538007736206,15.7293,12.996,Clouds,89.76,51,7.94,12
289,northam,200,0.3557429313659668,-4.2167,51.0333,Clear,38.34,10,2.46,75
290,lavrentiya,200,0.07601308822631836,-171.0,65.5833,Clouds,22.28,41,1.95,73
291,cardston,200,0.32245492935180664,-113.3019,49.2,Clouds,59.32,100,16.11,29
292,castro alves,200,0.3852710723876953,-39.4283,-12.7656,Clouds,70.39,100,8.68,84
293,nchelenge,200,0.27487802505493164,28.734,-9.3451,Rain,69.26,100,5.21,89
294,thunder bay,200,0.0720822811126709,-89.3168,48.4001,Clouds,54.52,75,12.66,44
295,olafsvik,200,0.3523411750793457,-23.7142,64.8945,Clouds,35.53,65,19.55,69
296,umm kaddadah,200,0.3086378574371338,26.6876,13.6017,Clouds,82.54,64,11.05,19
297,mwinilunga,200,0.2777400016784668,24.4293,-11.7358,Rain,63.18,100,2.42,98
298,hihifo,404,0.0727529525756836,,,,,,,98
299,ilulissat,200,0.07510709762573242,-51.1,69.2167,Clouds,44.6,17,14.97,45
300,cabedelo,200,0.2783229351043701,-34.8339,-6.9811,Clouds,77,20,3.44,100
301,constitucion,200,0.07112789154052734,-72.4167,-35.3333,Rain,54.91,100,7.56,94
302,moose factory,200,0.29775190353393555,-80.6094,51.2585,Snow,26.6,90,12.66,93
303,bubaque,200,0.47604918479919434,-15.8333,11.2833,Clouds,78.53,16,18.84,72
304,leh,200,0.15164804458618164,77.5833,34.1667,Clouds,36.99,38,1.63,48
305,kaitangata,200,0.0726919174194336,169.8464,-46.2817,Clear,59,10,4.0,56
306,tabou,200,0.2875230312347412,-7.3528,4.423,Clouds,80.38,100,7.76,82
307,ajaccio,200,0.4973278045654297,8.9167,42.0,Clouds,57.2,90,12.66,82
308,ullapool,200,0.34595608711242676,-5.1604,57.8987,Clouds,37,45,1.01,65
309,mecca,200,0.06999492645263672,39.8261,21.4267,Clouds,83.95,96,2.91,47
310,zharkent,200,0.32905125617980957,80.0,44.1628,Clouds,53.1,100,4.76,48
311,maumere,200,0.3831908702850342,122.2111,-8.6199,Clouds,79.21,98,3.96,76
312,saint-georges,200,0.07125592231750488,-61.7485,12.0564,Clouds,80.6,20,12.66,78
313,yerbogachen,200,0.27406883239746094,108.0108,61.2767,Clouds,33.67,49,3.91,88
314,nemuro,200,0.27667975425720215,145.575,43.3236,Rain,36.95,100,13.91,89
315,ilo,200,0.37698936462402344,-71.3375,-17.6394,Clouds,66.22,76,7.94,85
316,charleville-mezieres,200,0.28586888313293457,4.7167,49.7667,Clouds,42.01,96,5.75,87
317,belmonte,200,0.07473397254943848,-38.8828,-15.8631,Mist,71.6,75,3.44,88
318,san juan del sur,200,0.5103821754455566,-85.8705,11.2529,Clouds,86,75,4.61,58
